Country;Top100;Top200;Top500;Top1000;Top5000;Top10000;TOTAL
Micronesia;0;0;0;0;0;1;1
Faroe Islands;0;0;0;0;0;1;1
Northern Mariana Islands;0;0;0;0;0;1;1
French Polynesia;0;0;0;0;0;1;1
San Marino;0;0;0;0;0;1;1
Suriname;0;0;0;0;0;1;1
Angola;0;0;0;0;0;0;23
Congo Democratic Republic;0;0;0;0;0;0;16
Tajikistan;0;0;0;0;0;0;14
Saint Kitts and Nevis;0;0;0;0;0;0;6
Côte d'Ivoire;0;0;0;0;0;0;5
Myanmar;0;0;0;0;0;0;5
Burundi;0;0;0;0;0;0;4
Cayman Islands;0;0;0;0;0;0;4
Dutch Antilles;0;0;0;0;0;0;3
Aruba;0;0;0;0;0;0;3
Saint Lucia;0;0;0;0;0;0;3
Liberia;0;0;0;0;0;0;3
Togo;0;0;0;0;0;0;3
Congo;0;0;0;0;0;0;2
Eritrea;0;0;0;0;0;0;2
Gabon;0;0;0;0;0;0;2
Lesotho;0;0;0;0;0;0;2
Seychelles;0;0;0;0;0;0;2
Sierra Leone;0;0;0;0;0;0;2
South Sudan;0;0;0;0;0;0;2
Virgin Islands British;0;0;0;0;0;0;2
Samoa;0;0;0;0;0;0;2
Andorra;0;0;0;0;0;0;1
Bermuda;0;0;0;0;0;0;1
Central African Republic;0;0;0;0;0;0;1
Djibouti;0;0;0;0;0;0;1
Greenland;0;0;0;0;0;0;1
Gambia;0;0;0;0;0;0;1
Guinea;0;0;0;0;0;0;1
Equatorial Guinea;0;0;0;0;0;0;1
Isle of Man;0;0;0;0;0;0;1
North Korea;0;0;0;0;0;0;1
Monaco;0;0;0;0;0;0;1
Marshall Islands;0;0;0;0;0;0;1
Mali;0;0;0;0;0;0;1
Maldives;0;0;0;0;0;0;1
Niger;0;0;0;0;0;0;1
Niue;0;0;0;0;0;0;1
Palau;0;0;0;0;0;0;1
Timor-Leste;0;0;0;0;0;0;1
Tonga;0;0;0;0;0;0;1
Total;100;200;500;1000;5000;10002;22123
