nid,url,title,logo,core_id,score,rank_display,country,region,stars,guide
297573,/universities/sciences-po,Sciences Po,"<img src=""https://www.topuniversities.com/sites/default/files/sciences-po-_592560cf2aeae70239af4c64_small.jpg"" alt=""Sciences Po Logo"">",481,38.1,=242,France,Europe,NA,"<a href=""/where-to-study/europe/france/guide"" class=""guide-link"" target=""_blank"">France</a>"
294075,/universities/university-leicester,University of Leicester,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-leicester_339_small.jpg"" alt=""University of Leicester Logo"">",339,38.1,=242,United Kingdom,Europe,5,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>"
293349,/universities/qatar-university,Qatar University,"<img src=""https://www.topuniversities.com/sites/default/files/qatar-university_2537_small.jpg"" alt=""Qatar University Logo"">",2537,37.9,245,Qatar,Asia,,"<a href=""/where-to-study/asia/qatar/guide"" class=""guide-link"" target=""_blank"">Qatar</a>"
297462,/universities/queens-university-kingston,Queen's University at Kingston,"<img src=""https://www.topuniversities.com/sites/default/files/queens-university-at-kingston_513_small_6.jpg"" alt=""Queen's University at Kingston Logo"">",513,37.8,=246,Canada,North America,NA,"<a href=""/where-to-study/north-america/canada/guide"" class=""guide-link"" target=""_blank"">Canada</a>"
294574,/universities/university-calgary,University of Calgary,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-calgary_592560cf2aeae70239af4ad5_small.jpg"" alt=""University of Calgary Logo"">",82,37.8,=246,Canada,North America,5,"<a href=""/where-to-study/north-america/canada/guide"" class=""guide-link"" target=""_blank"">Canada</a>"
296147,/universities/university-sussex,University of Sussex,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-sussex_592560cf2aeae70239af4ccd_small_2.jpg"" alt=""University of Sussex Logo"">",585,37.8,=246,United Kingdom,Europe,,"<a href=""/where-to-study/europe/united-kingdom/guide"" class=""guide-link"" target=""_blank"">United Kingdom</a>"
296996,/universities/wuhan-university,Wuhan University,"<img src=""https://www.topuniversities.com/sites/default/files/wuhan-university_889_small.jpg"" alt=""Wuhan University Logo"">",889,37.8,=246,China (Mainland),Asia,NA,"<a href=""/where-to-study/asia/china/guide"" class=""guide-link"" target=""_blank"">China (Mainland)</a>"
297245,/universities/tomsk-state-university,Tomsk State University,"<img src=""https://www.topuniversities.com/sites/default/files/tomsk-state-university_616_small_3.jpg"" alt=""Tomsk State University Logo"">",616,37.7,=250,Russia,Europe,,"<a href=""/where-to-study/europe/russia/guide"" class=""guide-link"" target=""_blank"">Russia</a>"
294581,/universities/universite-libre-de-bruxelles,Universite libre de Bruxelles,"<img src=""https://www.topuniversities.com/sites/default/files/universite-libre-de-bruxelles_75_small.jpg"" alt=""Universite libre de Bruxelles Logo"">",75,37.7,=250,Belgium,Europe,NA,"<a href=""/where-to-study/europe/belgium/guide"" class=""guide-link"" target=""_blank"">Belgium</a>"
294879,/universities/mahidol-university,Mahidol University,"<img src=""https://www.topuniversities.com/sites/default/files/mahidol-university_381_small.jpg"" alt=""Mahidol University Logo"">",381,37.5,=252,Thailand,Asia,NA,"<a href=""/where-to-study/asia/thailand/guide"" class=""guide-link"" target=""_blank"">Thailand</a>"
294793,/universities/university-navarra,University of Navarra,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-navarra_592560cf2aeae70239af4c40_small_3.jpg"" alt=""University of Navarra Logo"">",445,37.5,=252,Spain,Europe,NA,"<a href=""/where-to-study/europe/spain/guide"" class=""guide-link"" target=""_blank"">Spain</a>"
294365,/universities/gadjah-mada-university,Gadjah Mada University,"<img src=""https://www.topuniversities.com/sites/default/files/gadjah-mada-university_219_small.jpg"" alt=""Gadjah Mada University Logo"">",219,37.4,=254,Indonesia,Asia,NA,"<a href=""/where-to-study/asia/indonesia/guide"" class=""guide-link"" target=""_blank"">Indonesia</a>"
295818,/universities/universiti-brunei-darussalam-ubd,Universiti Brunei Darussalam (UBD),"<img src=""https://www.topuniversities.com/sites/default/files/universiti-brunei-darussalam-ubd_22212_small.jpg"" alt=""Universiti Brunei Darussalam (UBD) Logo"">",22212,37.4,=254,Brunei,Asia,NA,
